label,text
1,"La voile sur le bon barrowman du navire a été très amusante, et pour mettre la cerise sur le gateau, j'ai parlé à ses parents"
0,"Selena chaque fois que je ferme les yeux avec toi, mais quand j'ouvre mes yeux, ce n'est pas à la vue qui est triste pour moi"
1,"Lorsque vous vous préparez à une fête d'anniversaire de 1 an, pour laquelle vous vous préparez vraiment? L'enfant ou les adultes?"
0,"* Saute dans tes bras * weeee !!! J'ai dû travailler ce week-end, ma chérie, j'ai le temps de faire, c'est travailler et dormir, & gt;. & Lt;"
0,"Oh lordy !! Rhume des foins, maintenant c'était inattendu! Les médicaments non-somnolents m'ont éliminé !! Pas de route pour se garer cet après-midi"
1,La météo est actuellement en ce moment
0,J'aimerais pouvoir aller trop loin. Bleurgh
0,"- C'est mon soldat! Il est parti aujourd'hui, je suis tellement fier de lui! Rentre chez toi en toute sécurité bébé!"
1,"Lol! Votre mise à jour était une description exacte de moi lors de tout événement sportif. Je pense que vous pouvez être psychique, alors, qui vous préoccupe si vous êtes drôle?"
0,Deux pouces vers le bas pour le haut. si triste
0,Toujours pas de signe de
1,"Vient de rentrer à la maison et tellement fatigué! J'ai acheté une belle montre merveilleuse aujourd'hui, yippee!"
0,Ennuyé comme l'enfer au travail !! Craint d'être rétrogradé
1,Merci 4 me mettre dans votre suivi vendredi
1,"Oh homme, je serai là demain"
0,Je dois courir loin demain pour brûler 2 tranches de pizza
0,J'essaie tellement d'aimer les grilles car omfg patience est adorable !!! Mais je ne peux pas le faire
1,Up est mon nouveau film préféré! Je veux un chien nommé maintenant
0,Coups de soleil sur mon dos donc soree (iloveethe sunn bhut = p ~
0,"Au travail, en surveillant la maintenance. Pourrait être ici jusqu'à minuit. tristesse."
1,"Dimanche, appellez-vous bien parce que je sors dehors pour être au soleil"
1,"Oui! Deux projets en bas, uno mas! Bon débarras, procrastination! Tu es une salope"
0,"Aujourd'hui, je me sens faché!"
1,Super bien fait!
0,Hey timmay! Pas de géant ce soir. Toujours au travail amusement sonnnnn
1,J'ai passé une bonne journée ... même si j'ai écrasé ma voiture. Merci à tous les participants de se ranger. Tu es génial!
1,Yay! Si heureux que vous venez!
0,"haleter! Je n'ai même pas suivi l'homme, et je vois qu'il demande déjà un divorce. Votre service de rencontres suce!"
0,"se réveilla. Maintenant, je me dirige vers la porte pour aller à l'école."
1,"Quelqu'un me dit comment annuler une recherche sur tweetdeck, je ne peux pas le comprendre, merci d'avance"
0,J'ai rêvé de toi pendant 8 ans avant même que je te connaissais ... j'ai rêvé de toi depuis 8 ans ..... je t'ai manqué depuis 8 ans
0,& Lt; / 3
0,J'ai été signé pour ym et pas invisible pendant quelques heures. Aucune personne n'a dit bonjour.
1,je verrai!
0,blabla. Pourquoi la vie doit-elle être si difficile
1,J'ai un examen demain ... qu'est-ce que & quot; organisé & quot; Signifie encore une fois?
1,Hey sorry si cela arrive trop tard ... joyeux anniversaire ... n'oubliez pas de vous amuser ce soir ... j'ai eu la date correcte?
1,Les vrais amis vous aident à travers tout et ils sont toujours là pour vous. J'adore les vrais amis. Merci les filles
0,Je vais aller avec bible bashing. Amenez-les tout au long de mon chemin
0,"Je suis tellement fatigué, je n'ai eu que 3 heures de sommeil la nuit dernière mais je devais encore me lever tôt ou me terminer mes devoirs frickin"
1,Je me suis réveillé avec un chat dans mon visage haha
0,Mais je viens d'utiliser la version mono 2.4 .. J'ai borked quelque chose avec aclocal sur mon système ne peut plus construire mono
0,Frotte-le. Je n'ai pas encore compris.
1,"Cela doit signifier que vous avez bien dormi! Lol, alors nous ne devrions nous attendre à aucun incident de café brûlé ce matin, à droite!"
0,Carotter un canon de roue plein de sable / gravier du garage à l'arrière-cour est fatiguant ... et il fait chaud aujourd'hui. Je peux entendre ppl profiter d'une piscine
1,"Si vous ne suivez pas, vous devez commencer ... ils sont déjà dans le spa"
0,J'ai aussi manqué deux amis en particulier. Choix de rite? La fierté empêche la révélation de qui ils sont.
1,"Je dois trouver un moyen avec cette matière électrostatique, change de chleka"
1,"Jour émotionnel! Nouvelle musique des anguilles et jarvis cocker! Aussi: le coup, le pilote aveugle et la pulpe (en train de faire tout ...)! & Lt; 3 emusic day!"
1,Twitter - juste une autre façon de vous persuader!
0,"épuisé. Tout ce que je veux faire est de voir ma famille dans le a, mais je ne pense pas que je serai capable de tellement bummed ... la nuit à tous"
0,": Nan,"
1,"Tout le monde utilise mal e, demandez-vous de l'aide avec des bons-cadeaux! Merci"
1,excellent! Vient de commencer ... voulez-vous envoyer des addys par courrier électronique à jmccabe.com? détails
